bw1,bw2,dl1,dl2,pl1,pl2,MPSNR
9.387,3.903,84,268,0.11,0.45,33.00539903
9.975,10.767,262,103,0.46,0.04,77.26623284
10.784,3.342,43,206,0.11,0.25,30.89656035
11.771,10.149,103,74,0.21,0.29,74.69554491
12.448,7.401,143,130,0.06,0.95,64.75064359
8.756,4.694,239,281,0.1,0.24,59.68038473
10.062,4.092,113,165,0.08,0.96,33.69361413
12.202,5.117,99,150,0.36,0.96,44.24477975
11.747,3.964,127,163,0.06,0.61,32.40810927
13.018,3.261,5,137,0.28,0.23,28.41747712
4.15,10.269,180,3,0.2,0.19,42.96024027
13.933,8.131,168,181,0.23,0.28,70.16683352
